tree_type_botanic,wikidata_id,citree_name
Metasequoia glyptostroboides,Q156800,Metasequoia glyptostroboides
Metasequoia species,Q1825748,Metasequoia
Morus alba,Q157307,Morus alba
Morus nigra,Q161040,Morus nigra
Nacherfassung,,
Nothofagus antarctica,Q571422,
Nyssa sylvatica,Q3179665,Nyssa sylvatica
Ostrya carpinifolia,Q1367533,Ostrya carpinifolia
Parrotia persica,Q1138533,Parrotia persica
Paulownia tomentosa,Q157393,Paulownia tomentosa
Phellodendron amurense,Q481711,Phellodendron amurense
Picea abies,Q145992,Picea abies
Picea abies 'Virgata',Q145992,Picea abies
Picea breweriana,Q476655,Picea breweriana
Picea glauka,Q128116,Picea glauca
Picea obovata,Q1137607,Picea obovata
Picea omorika,Q147824,Picea omorika
Picea orientalis,Q1145286,Picea orientalis
Picea pungens,Q146025,Picea pungens
Picea pungens 'Glauca',Q146025,Picea pungens
Picea sitchensis,Q147426,Picea sitchensis
Picea  species,Q26782,Picea
Pinus cembra,Q147278,Pinus cembra
Pinus mugo,Q147475,Pinus mugo
Pinus nigra,Q145954,Pinus nigra
Pinus nigra ssp. nigra,Q145954,Pinus nigra
Pinus parviflora 'Glauca',Q178116,Pinus parviflora
Pinus ponderosa,Q460523,Pinus ponderosa
Pinus  species,Q12024,Pinus
Pinus strobus,Q157230,Pinus strobus
Pinus sylvestris,Q133128,Pinus sylvestris
Pinus wallichiana,Q747652,Pinus wallichiana
Platanus orientalis,Q161105,Plantanus orientalis
Platanus species,Q163025,Platanus
Platanus x acerifolia,Q24853030,Platanus × acerifolia
Populus alba,Q146269,Populus alba
Populus alba 'Pyramidalis',Q146269,Populus alba
Populus balsamifera,Q149471,Populus balsamifera
Populus canescens,Q149553,Populus × canescens
Populus lasiocarpa,Q1306148,Populus lasiocarpa
Populus nigra,Q147064,Populus nigra
Populus nigra 'Italica',Q147064,Populus nigra
Populus species,Q25356,Populus
Populus tremula,Q146110,Populus tremula
Populus x berolinensis,Q4460779,Populus × berolinensis
Populus x canadensis,Q149622,Populus × canadensis
Populus x canadensis 'Serotina',Q149622,Populus × canadensis
Populus x hybrida,Q28715573,
Prunus armeniaca,Q37453,Prunus armeniaca
Prunus avium,Q165137,Prunus avium
Prunus avium Aggregat,Q165137,Prunus avium
Prunus avium 'Plena',Q130355207,Prunus avium 'Plena'
Prunus cerasifera,Q146951,Prunus cerasifera
Prunus cerasifera 'Atropurpurea',Q146951,Prunus cerasifera
Prunus cerasifera 'Nigra',Q886711,Prunus cerasifera 'Nigra'
Prunus cerasus,Q131517,
Prunus domestica,Q44120,Prunus domestica
Prunus domestica Aggregat,Q44120,Prunus domestica
Prunus domestica ssp. Syriaca,Q149741,Prunus domestica subsp. syriaca
Prunus incisa,Q3269605,Prunus incisa
Prunus mahaleb,Q161920,Prunus mahaleb
Prunus padus,Q165424,Prunus padus
Prunus persica,Q13189,Prunus persica
Prunus sargentii,Q163039,Prunus sargentii
Prunus serotina,Q158987,Prunus serotina
Prunus serrulata,Q165321,Prunus serrulata
Prunus serrulata 'Amanogawa',Q5821037,Prunus serrulata 'Amanogawa'
Prunus serrulata 'Kanzan',Q130256726,Prunus serrulata 'Kanzan'
Prunus serrulata 'Shidare-Sakura',Q165321,Prunus serrulata
Prunus  species,Q190545,Prunus
Prunus spinosa,Q129018,Prunus spinosa
Prunus subhirtella 'Autumnalis',Q10860787,Prunus × subhirtella 'Autumnalis'
Prunus x blireana,,
Prunus x gondouinii 'Schnee',Q3408659,
Prunus x yedoensis,Q163078,Prunus × yedoensis
Pseudotsuga macrocarpa,Q1425070,Pseudotsuga macrocarpa
Pseudotsuga menziesii,Q156687,Pseudotsuga menziesii
Pterocarya fraxinifolia,Q121749,Pterocarya fraxinifolia
Pterocarya stenoptera,Q2699896,Pterocarya stenoptera
Pyrus calleriana,Q3079266,Pyrus calleryana
Pyrus calleriana 'Chanticleer',Q3079266,Pyrus calleryana
Pyrus communis,Q146281,Pyrus communis
Pyrus communis Aggregat,Q146281,Pyrus communis
Pyrus salicifolia,Q1591053,Pyrus salicifolia
Pyrus  species,Q434,Pyrus
Quercus castaneifolia `Green Spire`,Q1010050,Quercus castaneifolia
Quercus cerris,Q157277,Quercus cerris
Quercus coccinea,Q854714,Quercus coccinea
Quercus frainetto,Q857075,Quercus frainetto
Quercus frainetto `Trump`,Q857075,Quercus frainetto
Quercus imbricaria,Q528713,Quercus imbricaria
Quercus macranthera,Q1105707,Quercus macranthera
Quercus muehlenbergii,Q2611816,Quercus muehlenbergii
Quercus palustris,Q161253,Quercus palustris
Quercus palustris 'Green Dwarf',Q161253,Quercus palustris
Quercus petraea,Q158608,Quercus petraea
Quercus pubescens,Q161415,Quercus pubescens
Quercus robur,Q165145,Quercus robur
Quercus robur 'Fastigiata',Q2379170,Quercus robur 'Fastigiata'
Quercus robur 'Fastigiata Aurea',Q165145,Quercus robur
Quercus robur 'Fastigiata Kloster',Q165145,Quercus robur
Quercus rubra,Q147525,Quercus rubra
Quercus rubra 'Aurea',Q147525,Quercus rubra
Quercus species,Q12004,Quercus
Quercus turneri 'Pseudoturneri',Q1325491,Quercus × turneri
Quercus x hispanica,Q15337558,Quercus × hispanica
Quercus x turneri 'Pseudoturneri',Q1325491,Quercus × turneri
Rhamnus frangula,Q11122869,Rhamnus frangula
Rhamnus  species,Q79190,
Rhus typhina,Q148986,Rhus typhina
Robinia pseudoacacia,Q157417,Robinia pseudoacacia
Robinia pseudoacacia 'Fastigata',Q157417,Robinia pseudoacacia
Robinia pseudoacacia 'Monophylla',Q157417,Robinia pseudoacacia
Robinia pseudoacacia 'Monophylla Fastigi',Q157417,Robinia pseudoacacia
Robinia Pseudoacacia `Semperflorens`,Q130467211,Robinia pseudoacacia 'Semperflorens'
Robinia pseudoacacia 'Umbraculifera',Q130467225,Robinia pseudoacacia 'Umbraculifera'
Robinia pseudoacacia 'Unifoliola',Q130467230,Robinia pseudoacacia 'Unifoliola'
Robinia  species,Q472943,
Salix alba,Q156918,Salix alba
Salix alba 'Liempde',Q156918,Salix alba
Salix alba 'Tristis',Q104188716,Salix alba 'Tristis'
Salix caprea,Q159565,Salix caprea
Salix cinerea,Q157540,Salix cinerea
Salix fragilis,Q157518,Salix fragilis
Salix matsudana 'Tortuosa',Q26822180,Salix matsudana ‘Tortuosa’
Salix pentandra,Q158912,Salix pentandra
Salix species,Q36050,Salix
Salix viminalis,Q158590,蒿柳
Sambucus nigra,Q22701,Sambucus nigra
Sambucus species,Q131448,Sambucus
Schwedische Mehlbeere,Q27980,Sorbus intermedia
Sciadopitys verticillata,Q161648,Sciadopitys verticillata
Sequoiadendron giganteum,Q149851,巨杉
Sequoia sempervirens,Q150129,Sequoia sempervirens
Sophora japonica,Q10881597,Sophora japonica
Sorbus aria,Q157960,Sorbus aria
Sorbus aria 'Decaisneana',Q157960,Sorbus aria
Sorbus aria 'Magnifica',Q157960,Sorbus aria
Sorbus arnoldiana,Q133698944,Sorbus arnoldiana
Sorbus aucuparia,Q146198,Sorbus aucuparia
Sorbus aucuparia 'Fastigiata',Q130467801,Sorbus aucuparia 'Fastigiata'
Sorbus domestica,Q159558,Sorbus domestica
Sorbus hybrida,Q2532563,
Sorbus intermedia,Q27980,Sorbus intermedia
Sorbus  species,Q157964,
Staphylea colchica,Q2671147,
Syringa vulgaris,Q6565319,Syringa vulgaris
Taxodium distichum,Q148950,Taxodium distichum
Taxus baccata,Q179729,Taxus baccata
Taxus baccata 'Fastigiata',Q110767650,Taxus baccata 'Fastigiata'
Taxus species,Q27355,
Thuja occidentalis,Q147468,Thuja occidentalis
Thuja orientalis,Q33482,
Thuja plicata,Q147417,Thuja plicata
Thuja  species,Q147255,Thuja
Tilia americana,Q163981,Tilia americana
