name_botanic,strain,wikidata_id,baumart_bo
Pinus nigra Arnold subsp. nigra,Allgemein,Q4730748,Pinus nigra ssp. nigra
Pinus peuce Griseb.,Allgemein,,
Pinus ponderosa Douglas ex C. Lawson var. ponderosa,Allgemein,Q460523,Pinus ponderosa
Pinus rigida Mill.,Allgemein,,
Pinus sylvestris L. var. sylvestris,Allgemein,Q133128,Pinus sylvestris
Pinus wallichiana A.B. Jacks.,Allgemein,Q747652,Pinus wallichiana
Pistacia chinensis Bge.,Allgemein,,
Platanus occidentalis L.,Allgemein,,
Platanus orientalis L.,Allgemein,Q161105,Platanus orientalis
Platanus x hispanica Münchh.(Platanus x acerifolia (Ait.)),Allgemein,Q24853030,Platanus x acerifolia
Poncirus trifoliata (L.) Raf.,Allgemein,,
Populus alba L.,Allgemein,Q146269,Populus alba
Populus koreana Rehder,Allgemein,,
Populus laurifolia Ledeb.,Allgemein,,
Populus simonii Carrière,Allgemein,,
Populus simonii Carrière,Fastigiata,,
Populus tremula L.,Allgemein,Q146110,Populus tremula
Populus x berolinensis (K. Koch) Dippel,Allgemein,Q4460779,Populus x berolinensis
Populus x canescens (Aiton) Sm.,Allgemein,Q149553,Populus canescens
Prunus armeniaca L.,Allgemein,Q37453,Prunus armeniaca
Prunus avium (L.) L. var. avium,Allgemein,Q165137,Prunus avium
Prunus avium (L.) L. var. avium,Plena,Q165137,Prunus avium
Prunus cerasifera Ehrh. subsp. cerasifera,Allgemein,Q146951,Prunus cerasifera
Prunus dulcis (Mill.) D.A. Webb. var. dulcis (Amygdalus communis L.),Allgemein,,
Prunus fruticosa Pall.,Allgemein,,
Prunus mahaleb L.,Allgemein,Q161920,Prunus mahaleb
Prunus padus L. subsp. padus,Albertii,Q165424,Prunus padus
Prunus padus L. subsp. padus,Allgemein,Q165424,Prunus padus
Prunus padus L. subsp. padus,Schloss Tiefurt,Q165424,Prunus padus
Prunus sargentii Rehder,Accolade,Q163039,Prunus sargentii
Prunus sargentii Rehder,Allgemein,Q163039,Prunus sargentii
Prunus sargentii Rehder,Rancho,Q163039,Prunus sargentii
Prunus sibirica L.,Allgemein,,
Prunus spinosa L.,Allgemein,Q129018,Prunus spinosa
Prunus x eminens Beck,Allgemein,,
Prunus x eminens Beck,Umbraculifera,,
Prunus x schmittii Rehder,Allgemein,,
